PID,SalePrice,Neighborhood,Prop_Addr,Latitude,Longitude,Street_name,Neighborhood_st,Street_type,Neg_Loc_Dist,Pos_Loc_Dist,Street_10_Quantiles,Street_20_Quantiles,Street_30_Quantiles,Street_50_Quantiles
909176150,126000,SWISU,"436 HAYWARD AVE, AMES, USA",42.0178137,-93.6514276,HAYWARD_AVE,SWISU_HAYWARD_AVE,AVE,1.469069712127654,1.357705072903414,group_4,group_7,group_11,group_17
905476230,139500,Edwards,"3416 WEST ST, AMES, USA",42.0247087,-93.6641683,WEST_ST,Edwards_WEST_ST,ST,2.7648185487859305,1.606531744831854,group_2,group_3,group_5,group_8
911128020,124900,IDOTRR,"320 S 2ND ST, AMES, USA",42.0214065,-93.614914,S_2ND_ST,IDOTRR_S_2ND_ST,ST,1.3431713595611845,1.919875255921294,group_2,group_3,group_5,group_8
535377150,114000,OldTown,"1524 DOUGLAS AVE, AMES, USA",42.0380884,-93.6120847,DOUGLAS_AVE,OldTown_DOUGLAS_AVE,AVE,0.6293237043755702,3.102194558964112,group_3,group_6,group_8,group_13
534177230,227000,NWAmes,"2304 FILLMORE AVE, AMES, USA",42.0449,-93.6318933,FILLMORE_AVE,NWAmes_FILLMORE_AVE,AVE,1.8051011411578568,1.878609326907505,group_7,group_14,group_21,group_35
908128060,198500,Edwards,"4003 MARIGOLD DR, AMES, USA",42.0191276,-93.671633,MARIGOLD_DR,Edwards_MARIGOLD_DR,DR,3.0801945394956727,2.478931035648172,group_5,group_9,group_13,group_22
902135020,93000,OldTown,"212 10TH ST, AMES, USA",42.0310516,-93.6128959,10TH_ST,OldTown_10TH_ST,ST,0.3935678094326139,2.6882593169857194,group_2,group_3,group_4,group_6
528228540,187687,Blmngtn,"2431 LAKESIDE DR, AMES, USA",42.0633944,-93.6427614,LAKESIDE_DR,Blmngtn_LAKESIDE_DR,DR,3.181794865782915,3.315663750723125,group_8,group_15,group_22,group_36
923426010,137500,Mitchel,"602 KEN MARIL RD, AMES, USA",41.9863363,-93.6036175,KEN_MARIL_RD,Mitchel_KEN_MARIL_RD,RD,3.8626594548521913,4.062062148253074,group_3,group_5,group_7,group_12
908186050,140000,Edwards,"3901 MARIGOLD DR, AMES, USA",42.0190808,-93.6704046,MARIGOLD_DR,Edwards_MARIGOLD_DR,DR,2.9812464992902363,2.4077294925116663,group_5,group_9,group_13,group_22
528186170,219500,NridgHt,"3629 CHILTON AVE, AMES, USA",42.057112,-93.6514196,CHILTON_AVE,NridgHt_CHILTON_AVE,AVE,3.5943830882771004,2.5800354913786414,group_8,group_15,group_22,group_36
923426070,136000,Mitchel,"700 KEN MARIL RD, AMES, USA",41.98636219999999,-93.6021734,KEN_MARIL_RD,Mitchel_KEN_MARIL_RD,RD,3.943650491917353,4.139162683681423,group_3,group_5,group_7,group_12
902204080,80000,OldTown,"1102 CARROLL AVE, AMES, USA",42.032241,-93.6086421,CARROLL_AVE,OldTown_CARROLL_AVE,AVE,0.6559415816770615,3.033860908339014,group_2,group_3,group_4,group_7
535105100,159000,NAmes,"2519 KELLOGG AVE, AMES, USA",42.0472521,-93.6159336,KELLOGG_AVE,NAmes_KELLOGG_AVE,AVE,0.6100328237516318,3.121771840196098,group_4,group_7,group_11,group_18
907405020,214000,CollgCr,"812 TENNYSON AVE, AMES, USA",42.0157588,-93.6875614,TENNYSON_AVE,CollgCr_TENNYSON_AVE,AVE,4.3042500812037465,3.757828195961992,group_7,group_14,group_21,group_35
531382110,163000,SawyerW,"5220 MARYLAND ST, AMES, USA",42.035743,-93.6899481,MARYLAND_ST,SawyerW_MARYLAND_ST,ST,5.221528690345378,3.3682456530788074,group_7,group_13,group_20,group_32
906380120,203000,CollgCr,"319 HARTFORD DR, AMES, USA",42.0251892,-93.689414,HARTFORD_DR,CollgCr_HARTFORD_DR,DR,4.683794866720283,3.4591362133911274,group_8,group_15,group_23,group_37
909101060,67000,Edwards,"2910 WOOD ST, AMES, USA",42.0219435,-93.6578284,WOOD_ST,Edwards_WOOD_ST,ST,2.1578032443524457,1.5135911936685085,group_1,group_2,group_2,group_3
534152050,205000,NWAmes,"2102 PRAIRIE VIEW EAST, AMES, USA",42.0427279,-93.6364656,PRAIRIE_VIEW_EAST,NWAmes_PRAIRIE_VIEW_EAST,EAST,1.951545319580712,1.435722770907936,group_8,group_15,group_22,group_36
923252075,131250,Mitchel,"424 TEAGARDEN DR, AMES, USA",41.9874181,-93.6054967,TEAGARDEN_DR,Mitchel_TEAGARDEN_DR,DR,3.668637799466166,3.869592340990364,group_3,group_5,group_7,group_11
531376060,181000,SawyerW,"1514 CALIFORNIA AVE, AMES, USA",42.0373615,-93.6909696,CALIFORNIA_AVE,SawyerW_CALIFORNIA_AVE,AVE,5.387657847937751,3.46738309663934,group_7,group_13,group_19,group_31
902201120,115000,OldTown,"1216 CARROLL AVE, AMES, USA",42.0338407,-93.6087163,CARROLL_AVE,OldTown_CARROLL_AVE,AVE,0.6378564433466473,3.151701063923448,group_2,group_3,group_4,group_7
923228080,98000,MeadowV,"626 MEADOW PL, AMES, USA",41.99235729999999,-93.6023632,MEADOW_PL,MeadowV_MEADOW_PL,PL,3.489282358582221,3.661202705275949,group_1,group_1,group_1,group_2
902326030,265979,OldTown,"829 DOUGLAS AVE, AMES, USA",42.0299362,-93.612577,DOUGLAS_AVE,OldTown_DOUGLAS_AVE,AVE,0.5020144286714968,2.6210970606083146,group_3,group_6,group_8,group_13
527451330,105500,BrDale,"1342 BARKLEY CT, AMES, USA",42.05142499999999,-93.6283738,BARKLEY_CT,BrDale_BARKLEY_CT,CT,1.6038657173996067,2.59547948595198,group_1,group_2,group_2,group_4
528218100,168165,Gilbert,"4205 CRESTMOOR AVE, AMES, USA",42.0619931,-93.6457501,CRESTMOOR_AVE,Gilbert_CRESTMOOR_AVE,AVE,3.3308229211869307,3.1297320693397466,group_6,group_12,group_17,group_28
916386140,201000,Timber,"3028 COTTONTAIL LN, AMES, USA",41.9943624,-93.650251,COTTONTAIL_LN,Timber_COTTONTAIL_LN,LN,2.254811122698078,2.47846345291434,group_8,group_16,group_24,group_40
533221090,177500,Somerst,"2711 HAMPTON ST, AMES, USA",42.0461999,-93.6459407,HAMPTON_ST,Somerst_HAMPTON_ST,ST,2.82104463213679,1.3872857804134595,group_6,group_11,group_16,group_27
534128010,200000,NWAmes,"1636 JOHNSON ST, AMES, USA",42.0489612,-93.6329225,JOHNSON_ST,NWAmes_JOHNSON_ST,ST,1.96435289145886,2.143559418468988,group_4,group_8,group_12,group_20
528106110,450000,NridgHt,"3331 WESTON DR, AMES, USA",42.0614353,-93.6578482,WESTON_DR,NridgHt_WESTON_DR,DR,4.237997428992132,2.5815090438119297,group_10,group_20,group_29,group_48
902206260,91300,OldTown,"926 DUFF AVE, AMES, USA",42.0311722,-93.6102843,DUFF_AVE,OldTown_DUFF_AVE,AVE,0.5657373389917898,2.8535525782536038,group_5,group_10,group_14,group_23
528222090,173500,Gilbert,"4302 WELBECK DR, AMES, USA",42.0632601,-93.6441465,WELBECK_DR,Gilbert_WELBECK_DR,DR,3.2749872144972616,3.284346044047913,group_6,group_12,group_18,group_30
528218150,199500,Gilbert,"4103 CRESTMOOR AVE, AMES, USA",42.061763,-93.6444831,CRESTMOOR_AVE,Gilbert_CRESTMOOR_AVE,AVE,3.225219195461276,3.115695034024634,group_6,group_12,group_17,group_28
903400180,207000,BrkSide,"816 BROOKRIDGE AVE, AMES, USA",42.0294103,-93.627195,BROOKRIDGE_AVE,BrkSide_BROOKRIDGE_AVE,AVE,0.996081142206668,1.8654392439996312,group_7,group_13,group_20,group_32
535453210,155000,NAmes,"1522 MAXWELL AVE, AMES, USA",42.0376592,-93.6065371,MAXWELL_AVE,NAmes_MAXWELL_AVE,AVE,0.9417681095910014,3.55014591416109,group_2,group_4,group_5,group_9
916386010,220000,Timber,"3005 CEDAR LN, AMES, USA",41.99515710000001,-93.6494563,CEDAR_LN,Timber_CEDAR_LN,LN,2.1450808261897367,2.369468078028365,group_6,group_12,group_18,group_29
907181090,196000,CollgCr,"5408 CERVANTES DR, AMES, USA",42.0169302,-93.692,CERVANTES_DR,CollgCr_CERVANTES_DR,DR,4.683754089914388,4.008295565160612,group_7,group_14,group_21,group_35
902206020,61500,OldTown,"118 E 11TH ST, AMES, USA",42.0318476,-93.6096908,E_11TH_ST,OldTown_E_11TH_ST,ST,0.5830982450762503,2.940418385373858,group_1,group_1,group_1,group_2
527327050,195000,NWAmes,"3323 BUCHANAN CT, AMES, USA",42.0549831,-93.6317746,BUCHANAN_CT,NWAmes_BUCHANAN_CT,CT,1.9689894295503625,2.745977008216843,group_7,group_13,group_19,group_32
527455250,129250,NAmes,"1115 28TH ST, AMES, USA",42.0488372,-93.6258371,28TH_ST,NAmes_28TH_ST,ST,1.3801435552649244,2.543191331906673,group_2,group_4,group_5,group_8
528326110,291000,NoRidge,"3013 ALMOND RD, AMES, USA",42.0559073,-93.6513731,ALMOND_RD,NoRidge_ALMOND_RD,RD,3.561104895759723,2.4461445278514327,group_10,group_19,group_29,group_47
